Match_Status,Team1,Team2,Score,Goals
FT,EGEMENPROJETAKIMI,NAPOLI,3 - 1,6' Maghnes Akliouche | 21' Breel Embolo | 61' Breel Embolo
FT,EGEMENPROJETAKIMI,MANCHESTER C,0 - 1,
FT,EGEMENPROJETAKIMI,HATAYSPOR,3 - 2,21' Ousmane Dembele | 56' Erling Haaland | 75' Erling Haaland
FT,EGEMENPROJETAKIMI,MEGZ,1 - 1,9' Erling Haaland
FT,EGEMENPROJETAKIMI,I SLEEP WITH YOUR MOM,3 - 3,37' Erling Haaland | 56' Erling Haaland | 81' Jude Bellingham
82' (Ended early),EGEMENPROJETAKIMI,DADDY,2 - 4,52' Erling Haaland | 63' Erling Haaland
69' (Ended early),EGEMENPROJETAKIMI,HOLDTHISLOSS,0 - 2,2' Kevin De Bruyne
55' (Ended early),EGEMENPROJETAKIMI,BRAZIL,1 - 3,33' Kevin De Bruyne
FT,EGEMENPROJETAKIMI,FC BARCELONA,1 - 0,90' Erling Haaland
26' (Ended early),EGEMENPROJETAKIMI,ARSENAL,3 - 0,6' Erling Haaland | 26' Erling Haaland
74' (Ended early),EGEMENPROJETAKIMI,SHANY FC,4 - 1,45' Erling Haaland | 49' Erling Haaland | 61' Erling Haaland | 74' Erling Haaland
83' (Ended early),EGEMENPROJETAKIMI,AL HELAL,0 - 3,83' Virgil van Dijk
FT,EGEMENPROJETAKIMI,Dream FC,1 - 1,30' Erling Haaland
68' (Ended early),EGEMENPROJETAKIMI,LEARNING LIFE,4 - 1,12' Ousmane Dembele | 37' Erling Haaland | 44' Erling Haaland | 67' Vini Jr.
FT,EGEMENPROJETAKIMI,YOUNG KINGZ,4 - 0,16' Vini Jr. | 56' Erling Haaland | 76' Erling Haaland | 90' Erling Haaland
FT,EGEMENPROJETAKIMI,WONDER FC,3 - 2,21' Ousmane Dembele | 51' Vini Jr. | 76' Ousmane Dembele
FT,EGEMENPROJETAKIMI,FLACKO,3 - 1,32' Erling Haaland | 64' Erling Haaland | 80' Erling Haaland
33' (Ended early),EGEMENPROJETAKIMI,GALATASARAY,0 - 3,
FT,EGEMENPROJETAKIMI,ALIANZA LIMA 1903,2 - 1,41' Erling Haaland | 84' Kingsley Coman
FT,EGEMENPROJETAKIMI,BUNYODKOR,1 - 0,56' Erling Haaland
FT,EGEMENPROJETAKIMI,MAROC,5 - 1,5' Erling Haaland | 19' Erling Haaland | 54' Vini Jr. | 76' Vini Jr. | 88' Virgil van Dijk
FT,EGEMENPROJETAKIMI,JUNIOR FC,1 - 0,67' Jude Bellingham
88' (Ended early),EGEMENPROJETAKIMI,DD CLUB,2 - 0,75' Ousmane Dembele | 88' Vini Jr.
FT,EGEMENPROJETAKIMI,MESSI10,2 - 1,15' Jude Bellingham | 79' Kingsley Coman
FT,EGEMENPROJETAKIMI,O I D A,1 - 0,58' Erling Haaland
FT,EGEMENPROJETAKIMI,R MADRID,2 - 0,57' Kylian Mbappe | 85' Kylian Mbappe
60' (Ended early),EGEMENPROJETAKIMI,R MADRID,3 - 0,14' Kylian Mbappe | 25' Antonio Rudiger | 60' Kylian Mbappe
FT,EGEMENPROJETAKIMI,R MADRID,1 - 1,27' Antonio Rudiger
FT,EGEMENPROJETAKIMI,R MADRID,0 - 0,
59' (Ended early),EGEMENPROJETAKIMI,MANCHESTER U,3 - 0,4' Aurelien Tchouameni | 14' Lisandro Martinez | 37' Kylian Mbappe
FT,EGEMENPROJETAKIMI,R MADRID,1 - 0,4' Kylian Mbappe
88' (Ended early),EGEMENPROJETAKIMI,LIVERPOOL,3 - 0,59' Antonio Rudiger | 70' Kylian Mbappe | 88' Jude Bellingham
38' (Ended early),EGEMENPROJETAKIMI,R MADRID,0 - 3,
16' (Ended early),EGEMENPROJETAKIMI,BARCELONA,3 - 0,16' Vini Jr.
FT,EGEMENPROJETAKIMI,LIVERPOOL,0 - 0,
FT,EGEMENPROJETAKIMI,LIVERPOOL,1 - 0,45' Vini Jr.
FT,EGEMENPROJETAKIMI,ZMALEK FC,1 - 1,20' Ousmane Dembele
81' (Ended early),EGEMENPROJETAKIMI,GFB,1 - 2,62' Erling Haaland
25' (Ended early),EGEMENPROJETAKIMI,ALAHLYE,0 - 3,
FT,EGEMENPROJETAKIMI,R MADRID,2 - 1,39' (PEN) Kylian Mbappe | 86' Kylian Mbappe
FT,EGEMENPROJETAKIMI,FCBARCEJLOHA,1 - 0,20' (PEN) Cristiano Ronaldo
FT,EGEMENPROJETAKIMI,PPPOOPOKKJ,1 - 0,29' Vini Jr.
FT,EGEMENPROJETAKIMI,OUJDA MA,1 - 1,67' Erling Haaland
FT,EGEMENPROJETAKIMI,SHYMKENT,2 - 1,85' Erling Haaland | 90' Kylian Mbappe
FT,EGEMENPROJETAKIMI,BKS,3 - 2,30' Vini Jr. | 38' Ousmane Dembele | 68' Erling Haaland | 90' Kingsley Coman
FT,EGEMENPROJETAKIMI,REAL MADRID C F,2 - 3,37' Erling Haaland | 59' Erling Haaland
46' (Ended early),EGEMENPROJETAKIMI,OLAH BIRODALOM,1 - 2,4' Erling Haaland
55' (Ended early),EGEMENPROJETAKIMI,LEGENDARY FC,0 - 2,
FT,EGEMENPROJETAKIMI,MANCHESTER CITY,2 - 1,51' Erling Haaland | 63' Erling Haaland
FT,EGEMENPROJETAKIMI,KAZAKHSTAN,0 - 0,
FT,EGEMENPROJETAKIMI,SIMURQ FC,2 - 1,6' Erling Haaland | 36' Erling Haaland
71' (Ended early),EGEMENPROJETAKIMI,BARCAFOREVER,0 - 3,
FT,EGEMENPROJETAKIMI,ALGERIA,4 - 3,23' Erling Haaland | 45' Vini Jr. | 65' Jude Bellingham | 80' Kevin De Bruyne
FT,EGEMENPROJETAKIMI,FC SHAKHTAR DONETSK,3 - 2,36' Erling Haaland | 54' Kevin De Bruyne | 77' Ousmane Dembele
FT,EGEMENPROJETAKIMI,FC POLIGON,1 - 1,45' Rodri | 81' Erling Haaland
FT,EGEMENPROJETAKIMI,SUPA STRIKER,2 - 2,45' Erling Haaland | 70' Erling Haaland
83' (Ended early),EGEMENPROJETAKIMI,LECH POZNA,3 - 1,34' Ousmane Dembele | 53' Ousmane Dembele | 83' Erling Haaland
72' (Ended early),EGEMENPROJETAKIMI,A.C MADRID,1 - 3,13' Erling Haaland
45' (Ended early),EGEMENPROJETAKIMI,REAL MADRID,0 - 2,
FT,EGEMENPROJETAKIMI,FC BARCELONA,3 - 0,74' Vini Jr. | 90' Erling Haaland
FT,EGEMENPROJETAKIMI,FENERBAHCE,3 - 3,29' Kevin De Bruyne | 81' Erling Haaland | 90' Kevin De Bruyne
55' (Ended early),EGEMENPROJETAKIMI,ANAS,0 - 3,
FT,EGEMENPROJETAKIMI,ARSENAL FC,1 - 1,4' Erling Haaland
FT,EGEMENPROJETAKIMI,KMGAOIA,3 - 2,16' Erling Haaland | 33' Kevin De Bruyne | 65' Erling Haaland
80' (Ended early),EGEMENPROJETAKIMI,MSK SNEZNICA,4 - 1,4' Erling Haaland | 12' Erling Haaland | 80' Erling Haaland
FT,EGEMENPROJETAKIMI,Dream FC,0 - 1,50' Virgil van Dijk
